1.930206	1.638300	1.581922	1.554252	1.535232	1.519619	1.505156	1.490750	1.474203	1.451829	1.420952	1.384455	1.353702	1.329369	1.310773	1.294811
1.638300	1.935593	1.634377	1.578205	1.550021	1.529444	1.511530	1.494468	1.475686	1.451374	1.419040	1.381662	1.350350	1.325532	1.306553	1.290320
1.581922	1.634377	1.936482	1.629158	1.572379	1.542838	1.520094	1.499757	1.478408	1.451979	1.418111	1.379812	1.347910	1.322581	1.303188	1.286636
1.554252	1.578205	1.629158	1.928089	1.622008	1.563656	1.532279	1.507529	1.483116	1.454321	1.418834	1.379612	1.347142	1.321324	1.301537	1.284677
1.535232	1.550021	1.572379	1.622008	1.920889	1.612643	1.552337	1.519437	1.490713	1.458926	1.421528	1.381288	1.348221	1.321900	1.301710	1.284536
1.519619	1.529444	1.542838	1.563656	1.612643	1.911430	1.600396	1.539816	1.502871	1.466554	1.426553	1.385036	1.351269	1.324371	1.303725	1.286200
1.505156	1.511530	1.520094	1.532279	1.552337	1.600396	1.904935	1.590970	1.525277	1.479492	1.435024	1.391574	1.356856	1.329220	1.308004	1.290047
1.490750	1.494468	1.499757	1.507529	1.519437	1.539816	1.590970	1.901417	1.582070	1.504424	1.449531	1.402317	1.366050	1.337357	1.315369	1.296841
1.474203	1.475686	1.478408	1.483116	1.490713	1.502871	1.525277	1.582070	1.903388	1.569556	1.478540	1.421053	1.381384	1.350816	1.327612	1.308229
1.451829	1.451374	1.451979	1.454321	1.458926	1.466554	1.479492	1.504424	1.569556	1.910950	1.558210	1.460653	1.410404	1.375308	1.349675	1.328753
1.420952	1.419040	1.418111	1.418834	1.421528	1.426553	1.435024	1.449531	1.478540	1.558210	1.909947	1.553074	1.466083	1.418759	1.387802	1.363950
1.384455	1.381662	1.379812	1.379612	1.381288	1.385036	1.391574	1.402317	1.421053	1.460653	1.553075	1.899037	1.565436	1.483619	1.441889	1.413076
1.353702	1.350350	1.347910	1.347142	1.348221	1.351269	1.356856	1.366050	1.381384	1.410404	1.466083	1.565436	1.899668	1.567976	1.499834	1.463504
1.329370	1.325532	1.322581	1.321324	1.321900	1.324371	1.329220	1.337356	1.350816	1.375308	1.418759	1.483619	1.567976	1.902223	1.578748	1.517144
1.310773	1.306553	1.303188	1.301537	1.301710	1.303725	1.308004	1.315369	1.327612	1.349675	1.387802	1.441889	1.499834	1.578748	1.913061	1.589602
1.294811	1.290320	1.286636	1.284677	1.284536	1.286200	1.290047	1.296840	1.308229	1.328752	1.363950	1.413076	1.463504	1.517144	1.589602	1.927118
