Validation,mean r2
Validation1,0.7948247292747109
Validation2,0.831191446529446
Validation3,0.8847638816696992
Validation4,0.7769143416427644
Validation5,0.8399279343175909
Validation6,0.8012124973126702
Validation7,0.945499993645062
Validation8,0.8469546759250919
Validation9,0.8553352522636191
Validation10,0.7789531972457846
