Validation,mean MAPE
Validation1,10.672586296827387
Validation2,15.358702627435179
Validation3,16.797834672678448
Validation4,16.043707569783738
Validation5,13.889248770519405
Validation6,11.078399688270093
Validation7,9.304444688469198
Validation8,13.501580674369507
Validation9,15.083645819068368
Validation10,14.056821562883224
