Validation,mean MAPE
Validation1,11.06725307
Validation2,13.17370342
Validation3,13.05223287
Validation4,14.49788774
Validation5,11.25782787
Validation6,10.77803311
Validation7,11.71961061
Validation8,10.53420985
Validation9,14.41208275
Validation10,13.20432492
