# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.3092,   15.4672,    0.9537,    9.0653,    3.9486,   43.9070
    2.2113,   16.7767,    0.9070,    8.6779,    3.7355,   33.8858
    2.0389,   22.4657,    0.9512,    8.3815,    4.3564,   14.8998
    2.3938,   20.4210,    0.9014,    9.1931,    4.4677,   19.1973
    2.2539,   25.0869,    0.9496,    9.2313,    4.6465,   11.2696
    2.1860,   17.0990,    0.9145,    7.6094,    3.7303,   31.9657
    2.1942,   17.3887,    0.8568,    7.3928,    3.7073,   30.3816
    2.3710,   28.2834,    0.8940,    7.8401,    3.9053,    8.4347
    2.3338,   17.6728,    0.9312,    8.8979,    3.7600,   28.9447
    2.2859,   32.9103,    0.9034,    7.6498,    4.9183,    5.9459
    2.4038,   29.2823,    0.8945,    8.7343,    4.3664,    7.7739
    2.3158,   14.9080,    0.8945,    8.4798,    4.0935,   49.6728
    2.4675,   27.8636,    0.9018,    7.8258,    3.9141,    8.7390
    2.3460,   23.1531,    0.9452,    8.1941,    4.5425,   13.7872
    2.4554,   22.3695,    0.8838,    8.1176,    3.7636,   15.0668
    2.3231,   16.7382,    0.9340,    8.6099,    3.5617,   34.1269
    2.3127,   15.7684,    0.9327,    7.9938,    4.3230,   41.2239
    2.1843,   28.8008,    0.9430,    8.4452,    4.0490,    8.0819
    2.3598,   18.8861,    0.8802,    7.7969,    3.7400,   23.8603
    2.2018,   21.0397,    0.9041,    7.6885,    4.5309,   17.7107
    2.3336,   30.3509,    0.9323,    7.8217,    4.6821,    7.1527
    2.3849,   28.0060,    0.8132,    7.3779,    3.8465,    8.6339
    2.2945,   28.4259,    0.9283,    8.4017,    4.3941,    8.3352
    2.2977,   28.0860,    0.9202,    8.6448,    4.5158,    8.5757
    2.2309,   27.9096,    0.9271,    8.7189,    4.3068,    8.7049
    2.2420,   17.7017,    0.9499,    8.9234,    3.5409,   28.8045
    2.4485,   21.6482,    0.8983,    8.3188,    3.7296,   16.4174
    2.2710,   29.1844,    0.8983,    8.2250,    4.3786,    7.8350
    2.2358,   31.1865,    0.9185,    7.6374,    4.3365,    6.7194
    2.2774,   25.4367,    0.8687,    8.4667,    3.8863,   10.8914
    2.3008,   16.7218,    0.9584,    8.9960,    3.5631,   34.2305
    2.3805,   26.1283,    0.8876,    8.9597,    3.9490,   10.2000
    2.3691,   28.6989,    0.9087,    7.6809,    3.7547,    8.1496
    2.2440,   20.0109,    0.8771,    7.3695,    4.4799,   20.2932
    2.2776,   28.1482,    0.9412,    8.5119,    4.3194,    8.5309
    2.2087,   19.3958,    0.9332,    7.6050,    4.1787,   22.1315
    2.4679,   22.7568,    0.9368,    8.0764,    3.8418,   14.4120
    2.4321,   21.3577,    0.8309,    7.7850,    3.9785,   17.0157
    2.2935,   16.4288,    0.9112,    8.6981,    3.8599,   36.1690
    2.4459,   28.0130,    0.9034,    7.8141,    3.8432,    8.6288
    2.3811,   16.4060,    0.9140,    7.9887,    4.4896,   36.3267
    2.3492,   19.6555,    0.8703,    8.0619,    3.9589,   21.3248
    2.3365,   26.8690,    0.9233,    8.7543,    4.3729,    9.5327
    2.3261,   30.1950,    0.8943,    8.7876,    4.1755,    7.2384
    2.1586,   25.6275,    0.9290,    8.8296,    4.3593,   10.6935
    2.0251,   26.5466,    0.9356,    8.4685,    3.9239,    9.8145
    2.2039,   15.8495,    0.9575,    7.6119,    3.5878,   40.5451
    2.2801,   16.4246,    0.9277,    7.7866,    3.8670,   36.1980
    2.3448,   31.4391,    0.8431,    7.6184,    4.3601,    6.5965
    2.3374,   31.0597,    0.9018,    8.4308,    3.9865,    6.7825
    2.2211,   16.9209,    0.9428,    7.9496,    4.2040,   33.0048
    2.2546,   15.7083,    0.9512,    8.5411,    3.6004,   41.7381
    2.3508,   19.7801,    0.9463,    7.5308,    4.6270,   20.9539
    2.4359,   20.0725,    0.8914,    7.8685,    3.6472,   20.1224
    2.3104,   26.9374,    0.8923,    7.8488,    3.8547,    9.4746
