# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.0981,   25.6885,    0.9371,    7.6234,    4.2436,    9.7666
    2.2529,   18.4231,    0.9404,    7.7728,    4.4049,   23.0747
    2.4556,   22.8583,    0.9022,    7.3489,    3.9793,   13.0051
    2.4183,   19.7753,    0.9295,    7.9458,    4.1298,   18.9722
    2.0662,   21.4281,    0.9510,    8.1314,    3.8700,   15.3383
    2.4658,   21.9378,    0.9029,    7.5451,    3.7897,   14.4360
    2.1996,   21.4811,    0.9174,    7.9926,    4.0906,   15.2403
    2.3364,   15.0163,    0.9221,    7.6351,    4.4467,   42.9647
    2.3871,   19.1278,    0.8810,    7.6235,    4.2810,   20.7792
    2.3828,   26.6010,    0.9102,    7.5721,    4.4228,    8.9882
    2.3952,   20.1968,    0.9356,    8.2111,    4.2534,   17.9254
    2.3335,   22.8362,    0.8924,    7.7034,    4.6327,   13.0369
    2.1710,   21.3768,    0.9554,    7.4753,    3.7685,   15.4340
    2.1095,   25.8868,    0.9176,    7.4472,    4.1978,    9.5886
    2.0755,   27.4986,    0.9414,    7.3601,    4.0725,    8.3138
    2.3451,   20.7741,    0.8884,    7.7651,    4.5550,   16.6331
    2.4457,   18.7155,    0.9326,    7.9183,    4.2084,   22.0759
    2.0912,   20.7524,    0.9302,    7.8232,    3.9894,   16.6789
    2.2037,   22.3875,    0.9578,    7.5641,    4.8668,   13.7075
    2.3229,   25.7460,    0.9580,    7.4495,    4.3573,    9.7145
    2.2689,   25.8907,    0.8930,    7.8181,    4.4011,    9.5852
    2.4008,   13.8061,    0.9442,    7.4941,    4.6972,   57.3326
    2.4371,   21.0549,    0.9304,    8.1422,    4.6859,   16.0568
    2.3508,   27.0069,    0.9185,    7.4084,    4.3160,    8.6729
    2.0731,   26.4376,    0.9567,    7.8687,    4.4632,    9.1202
    2.3476,   25.0676,    0.9419,    7.5912,    4.6755,   10.3591
    2.2224,   16.1004,    0.9233,    7.9037,    4.3647,   34.3761
    2.2048,   21.9365,    0.9091,    7.6135,    4.4667,   14.4382
    2.3941,   19.6232,    0.8766,    7.7554,    4.2514,   19.3739
    2.2804,   14.6983,    0.9446,    7.6499,    4.1187,   46.1384
    2.1164,   27.1924,    0.9141,    7.4082,    4.4209,    8.5346
    2.3341,   19.3556,    0.9319,    7.5132,    3.8773,   20.1137
    2.4718,   25.7444,    0.8491,    7.3647,    4.8447,    9.7159
    2.3689,   17.8764,    0.9430,    7.5881,    4.0314,   25.1447
    2.0942,   25.8567,    0.9381,    7.7906,    3.8781,    9.6154
    2.4487,   24.0569,    0.8901,    7.8533,    4.6966,   11.4528
    2.1019,   25.3325,    0.9295,    7.8568,    4.0602,   10.0996
    2.4254,   20.8892,    0.9593,    8.0283,    4.6811,   16.3929
    2.3333,   18.9822,    0.9489,    7.8772,    3.5771,   21.2233
    2.3318,   26.1000,    0.8790,    7.5137,    4.2558,    9.4029
    2.4042,   25.8183,    0.9434,    7.9155,    4.7747,    9.6495
    2.4011,   17.9037,    0.9470,    7.6506,    4.3678,   25.0345
    2.1044,   26.6295,    0.9240,    8.0111,    3.9676,    8.9654
    2.3250,   20.9513,    0.9417,    8.8218,    4.5891,   16.2656
    2.4185,   20.3579,    0.9122,    7.8532,    4.0604,   17.5494
    2.1262,   24.5032,    0.8909,    7.3567,    4.2208,   10.9484
    2.3391,   22.4730,    0.9183,    8.6719,    4.4417,   13.5756
    2.2674,   25.5945,    0.9255,    7.3674,    4.6888,    9.8529
    2.2301,   27.2912,    0.9389,    7.8007,    4.3500,    8.4623
    2.2967,   19.5071,    0.9152,    7.8360,    4.2262,   19.6894
    2.2954,   21.1217,    0.9085,    7.5714,    4.7542,   15.9243
    2.2367,   20.6080,    0.9507,    8.8149,    4.2581,   16.9893
    2.3405,   25.8366,    0.8570,    7.3695,    4.2405,    9.6333
    2.3328,   13.3645,    0.9560,    7.6727,    4.4177,   64.5453
    2.3516,   20.2028,    0.9164,    7.3662,    4.1029,   17.9111
    2.4662,   20.0276,    0.8720,    7.4666,    4.3409,   18.3343
    2.3345,   25.2781,    0.8958,    7.7360,    4.3339,   10.1520
    2.4562,   24.2102,    0.9554,    7.6826,    4.7433,   11.2755
