,S2,S2_conf
"('x1', 'x2')",0.011594513704721532,0.05264499091285626
"('x1', 'x3')",0.021166495555723308,0.05103276034822316
"('x1', 'x4')",0.0011559969908469733,0.050430903956514915
"('x1', 'x5')",0.004564668520855006,0.04635225445401982
"('x2', 'x3')",0.09514978457348083,0.06077187575318647
"('x2', 'x4')",0.016172773683753076,0.06001516185200201
"('x2', 'x5')",0.009049627726091539,0.058932103948283944
"('x3', 'x4')",0.0637621878185268,0.07932186248198435
"('x3', 'x5')",0.008339561632330808,0.0652429982006773
"('x4', 'x5')",-0.010047014988919696,0.05407924944473149
