,S2,S2_conf
"('x1', 'x2')",0.01702575049036048,0.01220868903040585
"('x1', 'x3')",0.006555314576623589,0.009434680515773166
"('x1', 'x4')",0.0009684351903595512,0.009244099415319063
"('x1', 'x5')",0.0014728215100156677,0.009646337005213213
"('x2', 'x3')",0.04637960269771013,0.029423810188895682
"('x2', 'x4')",0.02723348377584417,0.028319261256254835
"('x2', 'x5')",0.008124356983514831,0.030062745188059944
"('x3', 'x4')",0.00030524491598549197,0.01398425654271084
"('x3', 'x5')",0.004970565473767903,0.013401348607352101
"('x4', 'x5')",0.0002935223255532207,0.014066390161517854
