,S2,S2_conf
"('x1', 'x2')",0.00739998443701817,0.07865276214838936
"('x1', 'x3')",0.009845966520369231,0.07369787851128344
"('x1', 'x4')",0.0022291836387889966,0.06447561680043196
"('x1', 'x5')",0.0031220104024791417,0.07059228525875691
"('x2', 'x3')",0.0035779913860435886,0.0840112944900321
"('x2', 'x4')",0.037619907794587466,0.07421683474526396
"('x2', 'x5')",0.007209613958467337,0.073162937735448
"('x3', 'x4')",-0.01565061271267492,0.05289843495335691
"('x3', 'x5')",-0.01224158469599082,0.050277996971813864
"('x4', 'x5')",-0.009016664778504435,0.034100032841049524
