,S2,S2_conf
"('x1', 'x2')",0.01778253002063268,0.012310202056654092
"('x1', 'x3')",0.008060379172222049,0.010767860140064955
"('x1', 'x4')",0.00480503546443084,0.01100924341357413
"('x1', 'x5')",0.0009298931581189079,0.010498488632171855
"('x2', 'x3')",0.05463794684603357,0.029527734513172997
"('x2', 'x4')",0.0058668144396493704,0.02986824745387522
"('x2', 'x5')",0.005735608771051774,0.026472691013464125
"('x3', 'x4')",0.0016607612094435287,0.017531921637520504
"('x3', 'x5')",0.0021975975738718276,0.014847358039395991
"('x4', 'x5')",0.0013706774075432013,0.015268558458308452
