,ST,ST_conf
x1,0.25285552597660443,0.010255528610670743
x2,0.23664945401819554,0.007911538356656275
x3,0.23542386604453872,0.006271573928051454
x4,0.28241879924850083,0.00975332795073864
x5,0.1533064012496016,0.005145556092433215
