,S2,S2_conf
"('x1', 'x2')",0.020180450872968325,0.013555794560250335
"('x1', 'x3')",0.008854301098973671,0.013923168330436898
"('x1', 'x4')",7.352137895057231e-05,0.012797007388107288
"('x1', 'x5')",0.002222398277233256,0.012685174699105819
"('x2', 'x3')",0.020141206994495786,0.023138886109682445
"('x2', 'x4')",0.022035408063178094,0.022692742223156804
"('x2', 'x5')",0.0015498216632044755,0.022281705461247477
"('x3', 'x4')",0.005049443027330888,0.018578745291762244
"('x3', 'x5')",0.0023762430363256978,0.017653063311122794
"('x4', 'x5')",-0.001958612830196405,0.012089661213360366
