,S2,S2_conf
"('x1', 'x2')",0.017430915979847417,0.016499748470161356
"('x1', 'x3')",0.012017713590049398,0.01517867025229344
"('x1', 'x4')",0.002953365226607274,0.01625898036517529
"('x1', 'x5')",0.0035783534599162226,0.016521959841402412
"('x2', 'x3')",0.08702644792173354,0.016716087285264636
"('x2', 'x4')",0.008128690177248266,0.01741600298103683
"('x2', 'x5')",0.02244643785212358,0.01679316042444402
"('x3', 'x4')",0.014648277260578935,0.016339521107843917
"('x3', 'x5')",0.005893996918505479,0.015685132143892385
"('x4', 'x5')",0.0014524110631529696,0.020031960630877123
