,S2,S2_conf
"('x1', 'x2')",0.0025612841686717402,0.005803470477391289
"('x1', 'x3')",0.0024106168435634352,0.00540937266788614
"('x1', 'x4')",-0.002303177795108524,0.005068840324590556
"('x1', 'x5')",-0.004570504400164365,0.005012952009815514
"('x2', 'x3')",0.0266642872688113,0.025323096492700006
"('x2', 'x4')",0.01233111923457153,0.028141488436465578
"('x2', 'x5')",0.0004322118761357317,0.024102210056482103
"('x3', 'x4')",0.005489503596370238,0.012527713768067087
"('x3', 'x5')",-0.0006537274923651241,0.011620785792780738
"('x4', 'x5')",0.0006021090569895381,0.018532085682337836
