,S2,S2_conf
"('x1', 'x2')",0.019888390983426985,0.013626186991584736
"('x1', 'x3')",0.003794209321165226,0.010323162575480091
"('x1', 'x4')",-0.0004322949894966649,0.010176514094796807
"('x1', 'x5')",0.0018444600774956826,0.010145299226575926
"('x2', 'x3')",0.04924003931468279,0.02962315065926004
"('x2', 'x4')",0.03633973834341131,0.02899567224901398
"('x2', 'x5')",0.006125757260715917,0.028381372774616997
"('x3', 'x4')",0.002977545565592543,0.01541444008961546
"('x3', 'x5')",0.007437018371718743,0.016064614120531368
"('x4', 'x5')",-0.0014818278079125474,0.013206172981230118
