,ST,ST_conf
x1,0.019256120795729727,0.0033378721575490393
x2,0.5941923976397964,0.059129506835078595
x3,0.09374092354205883,0.011538522880765735
x4,0.422102133481485,0.04740756677366623
x5,0.019598254982923426,0.0027945386478797347
