,S2,S2_conf
"('x1', 'x2')",0.0010715774936838063,0.01903329159265215
"('x1', 'x3')",-0.00031851776303342023,0.017981091818036258
"('x1', 'x4')",0.0019528093583154882,0.017152070012077535
"('x1', 'x5')",-0.004240063690927415,0.018032611396031028
"('x2', 'x3')",0.04559595464273337,0.07203600479959585
"('x2', 'x4')",0.04246823316032239,0.09513493691243914
"('x2', 'x5')",0.015748437336675396,0.06947229966344243
"('x3', 'x4')",0.03617557665139526,0.041869375202103785
"('x3', 'x5')",0.010613116170736764,0.03843733388780014
"('x4', 'x5')",0.03902155816172763,0.06529545496177507
