,S2,S2_conf
"('x1', 'x2')",0.005911666138402272,0.04251759157876852
"('x1', 'x3')",0.006433495268023781,0.03833154669990031
"('x1', 'x4')",0.004535783518316423,0.03123312926528811
"('x1', 'x5')",0.0037498442454020273,0.03274499076009763
"('x2', 'x3')",0.03612130599624036,0.09337476045056517
"('x2', 'x4')",0.010610121788990467,0.07875823198277955
"('x2', 'x5')",-0.014239795037500017,0.07738026611140154
"('x3', 'x4')",0.0023855501769425407,0.06587444401009183
"('x3', 'x5')",0.004422964432092266,0.0625839048797789
"('x4', 'x5')",-0.013765324491903982,0.030719581483259255
