,S2,S2_conf
"('x1', 'x2')",0.014269968217529294,0.010872787698053206
"('x1', 'x3')",0.0018266215808382946,0.008076209336471584
"('x1', 'x4')",-0.001252782052818785,0.00826688582567636
"('x1', 'x5')",0.0008077162946008819,0.008347123985198527
"('x2', 'x3')",0.05267831606009005,0.030529473971795087
"('x2', 'x4')",0.028076887857887978,0.029568209114023636
"('x2', 'x5')",0.006119564226567044,0.02779852002436574
"('x3', 'x4')",0.003197211979944936,0.018669744665345978
"('x3', 'x5')",0.005395039853812407,0.016734632194266227
"('x4', 'x5')",-0.0007569088656552633,0.013818521652570153
