,S2,S2_conf
"('x1', 'x2')",0.022656720580887135,0.015927718660206903
"('x1', 'x3')",0.005266422925054359,0.014066457566915394
"('x1', 'x4')",0.00033487567060646456,0.012987855903102167
"('x1', 'x5')",0.0005775566718066519,0.012398126107780153
"('x2', 'x3')",0.035625541016205076,0.028485251661802775
"('x2', 'x4')",0.022805846916066484,0.026251155223722362
"('x2', 'x5')",0.004481110426006928,0.027711698642334723
"('x3', 'x4')",0.004301909267092306,0.021572307894160092
"('x3', 'x5')",0.003583446309993653,0.020178033795363468
"('x4', 'x5')",-0.0016170529197944428,0.009553631612431538
