,S2,S2_conf
"('x1', 'x2')",0.012757591778682326,0.018227864545652808
"('x1', 'x3')",0.01291533901895936,0.016982777785105672
"('x1', 'x4')",-0.0014381497569559178,0.015931094190982584
"('x1', 'x5')",0.0006481810321476555,0.01628257193948881
"('x2', 'x3')",0.04142545954480725,0.021945920243110966
"('x2', 'x4')",0.023414500051939287,0.01978469856218524
"('x2', 'x5')",0.0008453426530960328,0.019224787787045606
"('x3', 'x4')",0.0028412337744735915,0.018949791399857103
"('x3', 'x5')",0.004644203815354032,0.017782067694180743
"('x4', 'x5')",-0.004137933865194775,0.008104774780730609
