,S2,S2_conf
"('x1', 'x2')",0.01888634124548705,0.013165038074124715
"('x1', 'x3')",0.0025745148477571145,0.011183842417139066
"('x1', 'x4')",-0.0020908872528422676,0.010847900279502968
"('x1', 'x5')",0.0005338569497498821,0.011759759006382285
"('x2', 'x3')",0.04453001638945692,0.031163246382331825
"('x2', 'x4')",0.026885243784049606,0.026365979442893584
"('x2', 'x5')",0.006245921394928619,0.027843057717744677
"('x3', 'x4')",0.0026331393730334995,0.017570646139936367
"('x3', 'x5')",0.006899719027695636,0.018856336412940152
"('x4', 'x5')",-0.002572840625505987,0.009607543734185263
