,ST,ST_conf
x1,0.08856410523260679,0.004344190123142253
x2,0.5907408415409521,0.015812001407704238
x3,0.11988840534527903,0.004336767919899972
x4,0.32889449341010524,0.008413820019504702
x5,0.011358598173986637,0.0006435335861036996
