,ST,ST_conf
x1,0.15299071125979752,0.019999047377710008
x2,0.33815431542407665,0.03701423337196913
x3,0.5548235587650284,0.062037578024380514
x4,0.07161778793740771,0.009448547115852064
x5,0.02075936803944979,0.005097784213095052
