,S2,S2_conf
"('x1', 'x2')",0.018725315662605158,0.011680460526104086
"('x1', 'x3')",0.015896664412453007,0.009908604175329497
"('x1', 'x4')",0.004959670232568103,0.01152293597802705
"('x1', 'x5')",0.00014595445686430356,0.00952190219394627
"('x2', 'x3')",0.012259164680365212,0.025810574364756887
"('x2', 'x4')",0.02601164824146035,0.028032690230089113
"('x2', 'x5')",0.0012488361883095066,0.02382379004748235
"('x3', 'x4')",0.0017173164268081687,0.013427711861613466
"('x3', 'x5')",-0.0007944330640940502,0.01219247135457273
"('x4', 'x5')",0.000832568108458439,0.019454818878030886
