,S2,S2_conf
"('x1', 'x2')",0.007242304512309616,0.06751778948437016
"('x1', 'x3')",0.00506642676172353,0.05015671460878309
"('x1', 'x4')",0.0017879900427046087,0.044749875754706576
"('x1', 'x5')",-0.0006053183798747502,0.0438447285466935
"('x2', 'x3')",0.03044352012574364,0.097209904710412
"('x2', 'x4')",0.005140558310480272,0.08905948859650838
"('x2', 'x5')",-0.004404972077272737,0.09170650402614602
"('x3', 'x4')",0.010593764176224376,0.055090751001565075
"('x3', 'x5')",0.00943380525340616,0.05815249143248946
"('x4', 'x5')",-0.01138818397040861,0.02782116682707499
