,S2,S2_conf
"('x1', 'x2')",0.01693128622361889,0.014388159138105141
"('x1', 'x3')",0.012561612816947842,0.015326276660543365
"('x1', 'x4')",0.0012772512279657366,0.013236828456292296
"('x1', 'x5')",0.0019931284923972586,0.013919651695232169
"('x2', 'x3')",0.03715027633478618,0.027407598825205368
"('x2', 'x4')",0.016056839863275635,0.022713950464000682
"('x2', 'x5')",0.0022211713515922216,0.02097867645534982
"('x3', 'x4')",0.002549892522851177,0.018732448007889306
"('x3', 'x5')",0.004138843014861504,0.016013855008863098
"('x4', 'x5')",-0.0012902633857632129,0.011770523193483857
