,S2,S2_conf
"('x1', 'x2')",0.010142062907785993,0.0152886274342077
"('x1', 'x3')",0.01627482819163506,0.016295583489624354
"('x1', 'x4')",-0.001446683567367206,0.015023003929891681
"('x1', 'x5')",0.0010222722335443309,0.015656311770685886
"('x2', 'x3')",0.033773935151961365,0.020038620253858597
"('x2', 'x4')",0.0225093897984679,0.016984677724695564
"('x2', 'x5')",0.00043345249986547277,0.016449077671027202
"('x3', 'x4')",0.001288402289578168,0.018583070195827084
"('x3', 'x5')",0.00426233191347632,0.018752593110646008
"('x4', 'x5')",-0.0048731303442241004,0.007777474923715158
