,S2,S2_conf
"('x1', 'x2')",0.014378962442600618,0.010632051367590982
"('x1', 'x3')",0.0015613160102870838,0.007556712856431083
"('x1', 'x4')",-0.0013493177137253592,0.007506196693662264
"('x1', 'x5')",0.00041237712789143205,0.007766109165563321
"('x2', 'x3')",0.04716677575846154,0.02953292539501636
"('x2', 'x4')",0.03155420915805242,0.027262890049446216
"('x2', 'x5')",0.005990137837509998,0.027259141593319266
"('x3', 'x4')",0.0034835211796975657,0.015955847012288547
"('x3', 'x5')",0.0050363211229664945,0.014092455656356966
"('x4', 'x5')",-0.0007845394235388159,0.012142729740914428
