,S2,S2_conf
"('x1', 'x2')",-0.00045091502065863764,0.005055195449057391
"('x1', 'x3')",-0.00018367971802157532,0.004365351916850796
"('x1', 'x4')",-0.002574092407760742,0.004566232000556219
"('x1', 'x5')",-0.005038292036548236,0.004377849895806967
"('x2', 'x3')",0.02955979240561849,0.021764720766468165
"('x2', 'x4')",0.019917064667198336,0.028291689568336293
"('x2', 'x5')",-0.00020021986554145423,0.020543251914884573
"('x3', 'x4')",0.007867536473367631,0.010606333818268825
"('x3', 'x5')",-0.002272416959361685,0.01002338577223804
"('x4', 'x5')",-0.0002572502426057364,0.016624816248093675
