,S2,S2_conf
"('x1', 'x2')",0.019060075108586705,0.015162321494808137
"('x1', 'x3')",0.005481844730166774,0.013204021923042325
"('x1', 'x4')",0.0008304607516743372,0.011946229582336008
"('x1', 'x5')",0.002332711314015204,0.012299727053397824
"('x2', 'x3')",0.039460482719850865,0.02786253721879899
"('x2', 'x4')",0.018666129659009878,0.023939098226198673
"('x2', 'x5')",0.005991039296218095,0.02448335228105954
"('x3', 'x4')",0.00457921835868119,0.017619221981293818
"('x3', 'x5')",0.0058586099160592015,0.018457316616443783
"('x4', 'x5')",-0.002556632050678187,0.006554042652848659
