,S2,S2_conf
"('x1', 'x2')",0.0172877667227479,0.013162147404404367
"('x1', 'x3')",0.0037858718651369028,0.010791738333608593
"('x1', 'x4')",-0.0012447596194225703,0.009655519602722948
"('x1', 'x5')",0.0012160653229759816,0.009826445568162834
"('x2', 'x3')",0.04402202868056326,0.03236377372892242
"('x2', 'x4')",0.022530921217804974,0.023890309553152536
"('x2', 'x5')",0.005651893948211056,0.02530258327910063
"('x3', 'x4')",0.003201657834171031,0.016589662039444224
"('x3', 'x5')",0.0071128757163946565,0.017794970595025144
"('x4', 'x5')",-0.002189358713357001,0.00836670053307095
