,S2,S2_conf
"('x1', 'x2')",0.023994466104886314,0.015814853974720117
"('x1', 'x3')",0.01567291480355265,0.016178042757576134
"('x1', 'x4')",0.01600932699845714,0.019041348357769515
"('x1', 'x5')",0.010824490651788539,0.016527882464755592
"('x2', 'x3')",0.058059142847078804,0.020018122998176725
"('x2', 'x4')",0.025351709250585275,0.021196524547412575
"('x2', 'x5')",0.03265133262375631,0.020921525853617274
"('x3', 'x4')",0.005400602880785699,0.01482884359702326
"('x3', 'x5')",0.008225894001236224,0.014461095743965743
"('x4', 'x5')",0.00513494291053266,0.02155944733788521
