,S2,S2_conf
"('x1', 'x2')",0.022624257501407397,0.012253516554495924
"('x1', 'x3')",0.019576420131357408,0.011200465127350562
"('x1', 'x4')",-0.0014310509458769494,0.010485378009258289
"('x1', 'x5')",-0.0005237323800245802,0.01126101250868442
"('x2', 'x3')",0.016842661101218247,0.025271798444216908
"('x2', 'x4')",0.023973602584148712,0.02585517314202453
"('x2', 'x5')",0.0040650815894963666,0.024117507478848447
"('x3', 'x4')",0.02169654672447921,0.0110045489190969
"('x3', 'x5')",0.005591460562020117,0.010295198429109836
"('x4', 'x5')",0.0014552055324862367,0.01465553897335789
