,S2,S2_conf
"('x1', 'x2')",0.00592709679562714,0.010776859951645401
"('x1', 'x3')",0.00904809738846446,0.011431444528238341
"('x1', 'x4')",0.0032669538202510628,0.009965659040570393
"('x1', 'x5')",0.0021301856003070746,0.009683313801208003
"('x2', 'x3')",0.06765209825031546,0.023663139348805724
"('x2', 'x4')",0.018839657046576135,0.022940224153517486
"('x2', 'x5')",0.007258954637213863,0.022451199070995992
"('x3', 'x4')",0.02027189719074448,0.018875297366081848
"('x3', 'x5')",0.0018879419849932716,0.01952539488744426
"('x4', 'x5')",0.004325595218537169,0.011582919736786561
