,S2,S2_conf
"('x1', 'x2')",0.012881531695926096,0.007664873891780185
"('x1', 'x3')",0.001689127311041927,0.006470921559157868
"('x1', 'x4')",-0.0007852071476688871,0.006708436811852243
"('x1', 'x5')",-8.453619900837539e-05,0.006241491663623711
"('x2', 'x3')",0.054354205715079595,0.026694034653888962
"('x2', 'x4')",0.017662945508990613,0.03099479748447359
"('x2', 'x5')",0.009276231636359582,0.02727222190808477
"('x3', 'x4')",0.0015108290520226553,0.015586446570246411
"('x3', 'x5')",0.003200091945610866,0.014268456873909142
"('x4', 'x5')",-4.7265458065839927e-07,0.015477929934127261
