,S2,S2_conf
"('x1', 'x2')",0.02171737793868475,0.019884353480676277
"('x1', 'x3')",0.00930738467230785,0.01970770444274252
"('x1', 'x4')",0.0015521569570643157,0.018207498898163924
"('x1', 'x5')",0.004473421052338611,0.01840734702472209
"('x2', 'x3')",0.006178016768739192,0.017558194590108715
"('x2', 'x4')",0.03400416832117492,0.015025083679641225
"('x2', 'x5')",0.005488369419198308,0.017158239283101482
"('x3', 'x4')",0.011431808944160238,0.0160646123117765
"('x3', 'x5')",0.0031714332772748988,0.017711481157184916
"('x4', 'x5')",0.0023372843859177372,0.013950922563327854
