,S2,S2_conf
"('x1', 'x2')",0.014054634895787621,0.012512760811369561
"('x1', 'x3')",0.006142344195115168,0.011077225766183519
"('x1', 'x4')",0.0004250866451618318,0.009940674696662157
"('x1', 'x5')",0.001559305931270176,0.010083083871263122
"('x2', 'x3')",0.054948448308750564,0.0266025491289449
"('x2', 'x4')",0.0356268749091386,0.023576531111754236
"('x2', 'x5')",0.001918851018156309,0.02366443435943622
"('x3', 'x4')",0.0007712023181467853,0.017727048836469146
"('x3', 'x5')",0.004438116104486467,0.017029716339856303
"('x4', 'x5')",-0.0023085293487677544,0.01134995636757768
