,S2,S2_conf
"('x1', 'x2')",0.01454313317393785,0.014952901756669064
"('x1', 'x3')",0.011372222043172897,0.012822712708876539
"('x1', 'x4')",0.0037519738682199044,0.011451600478196168
"('x1', 'x5')",0.001508033692734092,0.010970576395160822
"('x2', 'x3')",0.032373350703426174,0.023339720072831967
"('x2', 'x4')",0.015832111549085953,0.023825676419170067
"('x2', 'x5')",0.0019951598769670587,0.022339968971167037
"('x3', 'x4')",0.002739154629483792,0.01814178456473153
"('x3', 'x5')",0.003287637936181178,0.015838112528749726
"('x4', 'x5')",-0.0009643082726742613,0.013749342253506639
