,S2,S2_conf
"('x1', 'x2')",0.01803364155134357,0.011255752054304504
"('x1', 'x3')",0.004585954807992509,0.00935624028757617
"('x1', 'x4')",0.00265101193341849,0.009150951776567542
"('x1', 'x5')",0.0006329209619142847,0.009637283919593191
"('x2', 'x3')",0.059208220595515615,0.025726751358844384
"('x2', 'x4')",0.019971715449059624,0.026295576472672395
"('x2', 'x5')",0.0054730670827821595,0.02316718481000719
"('x3', 'x4')",0.0015963650585030242,0.01659615601798845
"('x3', 'x5')",0.0038010894114518714,0.015279221494083119
"('x4', 'x5')",-0.0005557719669646664,0.01691876467818367
