,S2,S2_conf
"('x1', 'x2')",0.00941006485720608,0.006902690103129354
"('x1', 'x3')",0.010301505253197039,0.005605358913258203
"('x1', 'x4')",0.0008306774813586215,0.005749238797472867
"('x1', 'x5')",0.0009884863743157835,0.0059245465099021215
"('x2', 'x3')",0.022631983072359734,0.02381634191921798
"('x2', 'x4')",0.02122413122116701,0.02683034222375596
"('x2', 'x5')",0.0037715056072746105,0.02464831647618919
"('x3', 'x4')",0.01200206204779386,0.008902041246767984
"('x3', 'x5')",0.003032853508485478,0.008459241315408197
"('x4', 'x5')",0.0018163218117013095,0.016155133045007906
