,S2,S2_conf
"('x1', 'x2')",0.012390658289341716,0.008854476078315772
"('x1', 'x3')",0.005261844312166752,0.006815482364436614
"('x1', 'x4')",0.00012142554910304915,0.007577754920936127
"('x1', 'x5')",0.0002765707816969262,0.007269856345981818
"('x2', 'x3')",0.03511864966050535,0.027584568172777154
"('x2', 'x4')",0.018224172615675605,0.02819221105362758
"('x2', 'x5')",0.006157503001718606,0.025384635338623382
"('x3', 'x4')",0.001842189867423072,0.0127969371664357
"('x3', 'x5')",0.002660996347274347,0.011207342268360733
"('x4', 'x5')",0.0005176440666002369,0.014699083205055622
