,ST,ST_conf
x1,0.030955470681198888,0.002161720441833189
x2,0.6108511497018941,0.014596676668683898
x3,0.10186610598516502,0.004356331392547497
x4,0.39815664300184306,0.011036925749423904
x5,0.018995595025987293,0.001007336749716225
