,S2,S2_conf
"('x1', 'x2')",0.004122379140603871,0.006641127499253122
"('x1', 'x3')",0.0029300052731323425,0.006025804982428838
"('x1', 'x4')",-0.0009147084775641412,0.005175875748332443
"('x1', 'x5')",-0.002979860216409693,0.005553861635525194
"('x2', 'x3')",0.029250483304295843,0.020815440308055794
"('x2', 'x4')",0.01844948750870623,0.024520731749370084
"('x2', 'x5')",0.0017838848830802646,0.019991829882516902
"('x3', 'x4')",0.004120312549673377,0.012079135140664072
"('x3', 'x5')",-0.0014220471295355516,0.010198127727771275
"('x4', 'x5')",-0.00089467359154757,0.01987283450401186
