,S2,S2_conf
"('x1', 'x2')",0.017808961831403847,0.0160796851260129
"('x1', 'x3')",0.009535635369575912,0.0141922840706656
"('x1', 'x4')",0.001136537143172689,0.012587321500905652
"('x1', 'x5')",0.0025466359614212293,0.012259592891906486
"('x2', 'x3')",0.049773233162232866,0.02585810257505904
"('x2', 'x4')",0.01589818789367463,0.021424804201813863
"('x2', 'x5')",0.0027024620883012336,0.02117395906753107
"('x3', 'x4')",0.0025004935985561277,0.01940091499119397
"('x3', 'x5')",0.005347652812841736,0.018382575964695235
"('x4', 'x5')",-0.0016968210162001916,0.010309886344354655
