,S2,S2_conf
"('x1', 'x2')",0.028736615131502025,0.020302879286100403
"('x1', 'x3')",0.025296098993810023,0.021787594607562525
"('x1', 'x4')",0.014412253713919979,0.01890101903422854
"('x1', 'x5')",0.005824057018347522,0.01862554307232636
"('x2', 'x3')",0.016729879675993486,0.024273671704319322
"('x2', 'x4')",0.11838828082675461,0.022451415740434452
"('x2', 'x5')",0.01072055238251236,0.01989687462350076
"('x3', 'x4')",0.0193494332565073,0.021125067729498778
"('x3', 'x5')",0.007440414975077508,0.021341987357318726
"('x4', 'x5')",0.00856729627038592,0.018155540640182384
