,S2,S2_conf
"('x1', 'x2')",0.018516522967654547,0.014751237940297078
"('x1', 'x3')",0.007511908531501965,0.011045780547471093
"('x1', 'x4')",0.0016079978346644208,0.01060867618869404
"('x1', 'x5')",0.0020351041746939982,0.010927963028298208
"('x2', 'x3')",0.044584697524579,0.03240878499131338
"('x2', 'x4')",0.018237289437811666,0.025177079106048158
"('x2', 'x5')",0.003742334337125973,0.02513320206888808
"('x3', 'x4')",0.002557123750865642,0.018051410462774843
"('x3', 'x5')",0.004144600501938343,0.01754185292628259
"('x4', 'x5')",-0.0010326816790328444,0.013442784790838026
