,S2,S2_conf
"('x1', 'x2')",0.01100669606546592,0.013238474637679597
"('x1', 'x3')",0.0037104446456895923,0.016525350436974097
"('x1', 'x4')",0.004684010777333941,0.013100398260258212
"('x1', 'x5')",-0.0007513476515449377,0.012592162447278425
"('x2', 'x3')",0.05061655315052416,0.017418987992575102
"('x2', 'x4')",0.023941762531846104,0.01791345872032861
"('x2', 'x5')",0.011266547302479201,0.01847487688029834
"('x3', 'x4')",0.054655533057201645,0.024204444013907013
"('x3', 'x5')",-0.0006981597779810397,0.021828615742677276
"('x4', 'x5')",0.0009295170448749453,0.013506186277857737
