,ST,ST_conf
x1,0.11084627936451258,0.003979598674316627
x2,0.71273161535767,0.0184103036261701
x3,0.3856588699253854,0.01238725761619217
x4,0.1584369000890426,0.004484215205829832
x5,0.07831683651579997,0.0028331903767198794
