0.347484	0.373906	0.444957	0.526074	0.599579	0.630381	0.664270	0.730537	0.786419	0.863008	0.978462	1.095027	5.000000
0.343275	0.374674	0.427081	0.508967	0.577671	0.608809	0.684892	0.769683	0.858482	0.978603	1.106487	5.000000	1.122350
0.340029	0.386589	0.434296	0.516001	0.578563	0.650739	0.738156	0.853059	1.004795	1.139410	5.000000	1.137236	1.017885
0.351645	0.398608	0.446697	0.530907	0.623564	0.708973	0.821263	0.978704	1.139501	5.000000	1.160265	1.020388	0.913521
0.363361	0.410732	0.459206	0.577491	0.680279	0.790012	0.944752	1.112868	5.000000	1.140729	1.028925	0.911980	0.832744
0.375178	0.422960	0.500867	0.632296	0.759298	0.911382	1.079284	5.000000	1.099113	0.992582	0.892735	0.819791	0.788376
0.387098	0.459311	0.553123	0.697066	0.866997	1.034399	5.000000	1.047163	0.949577	0.851886	0.786463	0.743658	0.727555
0.399122	0.512353	0.607199	0.811280	1.002517	5.000000	0.990378	0.901802	0.811918	0.751938	0.709960	0.668988	0.687238
0.431529	0.566345	0.716602	0.983084	5.000000	0.935316	0.849513	0.767514	0.718079	0.676913	0.637088	0.634536	0.660538
0.481621	0.652582	0.834222	5.000000	0.875538	0.792524	0.713184	0.671585	0.631837	0.597768	0.595623	0.596706	0.626147
0.531061	0.752053	5.000000	0.808650	0.722436	0.647369	0.609649	0.572793	0.538981	0.531555	0.524165	0.528055	0.549797
0.637063	5.000000	0.753385	0.646378	0.574492	0.528602	0.486385	0.457550	0.450517	0.443518	0.436552	0.445882	0.466455
5.000000	0.703110	0.585190	0.521156	0.476821	0.433778	0.408134	0.398922	0.389771	0.380680	0.371648	0.383595	0.400861
