0.457923	0.493425	0.614859	0.668666	0.718392	0.730640	0.769044	0.818554	0.850830	0.875117	0.926898	1.002985	5.000000
0.458030	0.541660	0.593029	0.646109	0.686145	0.717748	0.777889	0.826003	0.873664	0.940276	1.022121	5.000000	1.036044
0.458137	0.520820	0.571494	0.623857	0.667939	0.729574	0.785171	0.833482	0.924968	1.030006	5.000000	1.070155	0.974048
0.468794	0.517714	0.565793	0.623916	0.696087	0.763131	0.819274	0.914693	1.034293	5.000000	1.070377	0.994884	0.913890
0.479758	0.528776	0.583009	0.677724	0.745258	0.813138	0.907203	1.026414	5.000000	1.067388	0.967793	0.909260	0.878283
0.490803	0.543133	0.635462	0.727567	0.795856	0.899743	1.026500	5.000000	1.064404	0.963886	0.871840	0.852105	0.846231
0.501931	0.594264	0.689653	0.777652	0.885840	1.044099	5.000000	1.058431	0.959891	0.865565	0.820294	0.814521	0.808767
0.542053	0.647730	0.746279	0.882540	1.055206	5.000000	1.042539	0.944668	0.851486	0.805780	0.769285	0.763331	0.757397
0.602738	0.710461	0.845903	1.042822	5.000000	1.023596	0.923965	0.838856	0.798199	0.758441	0.729999	0.724177	0.733602
0.668938	0.778209	1.032665	5.000000	1.005762	0.903482	0.831137	0.790650	0.751059	0.712343	0.691586	0.708003	0.740743
0.737872	0.930041	5.000000	0.988086	0.883218	0.823450	0.783134	0.743708	0.700264	0.650554	0.653587	0.673002	0.692645
0.835569	5.000000	0.970565	0.857160	0.796749	0.744218	0.693223	0.643719	0.595663	0.582585	0.600198	0.618987	0.637996
5.000000	0.895660	0.789309	0.736995	0.686212	0.636913	0.589055	0.547682	0.536403	0.530563	0.548533	0.566715	0.585110
