% Model:              Spiral_model_stationary3.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jul 2 2021, 11:27
% Table:              Evaluation Group 1 - 
% bone_R                 n                        V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)
0.166667                 1                        575.2142701772191        258.05582295893294       185.53868226429498       134.71534115701226       100.08476703638061       78.21403079696381        65.37794628483513        59.37218130883476        58.62741698503985        62.28434522079112        69.53717949530427        79.2786562086178         89.4186176414531         98.76795079678689        105.3572453074684        107.86697781450228
0.166667                 2                        258.0558224095769        576.2253575843922        227.97267957993324       150.754236817181         107.3547367115485        81.72377643787522        67.06756017467002        60.04830679251957        58.549921544623686       61.41137225462078        67.66411180534175        76.13364474970568        84.87731761069834        92.82645280770116        98.30974210955954        100.29000405358455
0.166667                 3                        185.538682336019         227.9726800190758        549.1368136420666        192.50888714645717       122.93658082978652       88.67759422529586        70.3003896801342         61.332671073914625       58.442239001677905       59.889611489697224       64.44381651855996        70.8676700899736         77.49570481648801        83.44800109021939        87.43928245504878        88.70599226021025
0.166667                 4                        134.7153410787421        150.7542364917599        192.5088860079946        518.8408684726221        165.13583057908497       104.19549885813538       77.16355057739867        64.31983673990085        58.998065358645086       58.26217390876941        60.453196857781975       64.26559812309556        68.37194470026483        72.06087919214646        74.41417668833289        74.87321736769209
0.166667                 5                        100.08476657737997       107.3547369761341        122.9365817557424        165.13583013952652       497.56988114684884       146.80670201623533       92.91920332821886        71.39104541167991        61.76020204638374        57.92680627207737        57.34442781121598        58.50392840312533        60.28920032464385        62.013360147830085       62.98345549114086        62.73491891016595
0.166667                 6                        78.21402981395974        81.7237764098627         88.6775942464562         104.19550115239896       146.80670182952983       487.78761505900206       136.4215123293369        88.0180744615724         69.19024981294974        60.444344334508365       56.50668101652744        55.05522004161195        54.84083091696301        54.99094431162299        54.883850812231714       54.05607390240019
0.166667                 7                        65.37794599846688        67.06756071381558        70.30039053820907        77.1635503708212         92.9192015027766         136.42151427278998       481.49586768200453       133.19275737930977       86.80648218793381        68.28039617780892        59.43987778310483        54.9714078833407         52.78137487067186        51.5087448589959         50.455364081541475       49.07415718084534
0.166667                 8                        59.37218168861184        60.048307191834205       61.33267015575521        64.31983825058968        71.39104546164162        88.01807556438135        133.19275819987027       483.1369054666569        133.45878892556078       86.88675424711418        68.58010584365914        59.563302984333          54.862490844706784       51.962706259708725       49.86193302376685        47.80598665472464
0.166667                 9                        58.627416642036174       58.5499213589101         58.442239107067444       58.99806936644413        61.760201854907514       69.19024983147834        86.80648083211685        133.45878839790498       485.1305889214048        134.77794792358364       89.2019263942449         70.92513374325296        62.02891739237613        56.723171510103505       53.153223814250026       50.107169473975524
0.166667                 10                       62.2843450449034         61.411372192057165       59.88961344789503        58.262166845305295       57.92680522051941        60.4443430282149         68.28039667141428        86.8867539252078         134.77794625288485       490.18631753059697       140.82611401894908       94.64676418568598        76.59052514439573        66.84039159073           60.79575624794311        56.121851273268454
