% Model:              Spiral_model_stationary3.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jul 2 2021, 11:14
% Table:              Evaluation Group 1 - 
% bone_R                 n                        V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)            V/impulse (Ω)
0.166667                 1                        621.250174773718         262.56321796946304       183.50362699021022       130.29373883238813       94.947551584947          73.9912917034052         62.66106929062019        57.62924185987692        57.30962564989987        60.908263495575106       67.92109919837192        77.39432098378586        87.53692996711943        97.10703802951795        103.84087643879981       106.28134786200815
0.166667                 2                        262.56321783060463       630.4287772766831        233.22942795319148       147.08577900811426       102.31247997966848       77.58796017999234        64.48597965904278        58.45287935474848        57.40104325725856        60.26266199972564        66.37196584293594        74.70082607563332        83.54595476223962        91.77770605008847        97.46022642062498        99.46479079802353
0.166667                 3                        183.5036272187023        233.2294279834916        610.520854574794         198.51478884557352       119.78121180556361       85.36036486256789        68.33242991567163        60.26207002958031        57.81251953849783        59.333649472452336       63.8584438797438         70.25292293946103        76.99656060848697        83.15981455987762        87.28558286462817        88.61590014141271
0.166667                 4                        130.2937387909821        147.085779662994         198.51478990837964       576.4961481920287        173.52245671279454       104.48945380907844       77.34893577104329        64.83903879260922        59.69120289651293        58.87854770618297        60.89111840443988        64.47915167128163        68.41349833486862        71.9833172772458         74.23145241132605        74.68562628540965
0.166667                 5                        94.94755102583102        102.31248023552588       119.78121196158173       173.5224557267155        555.111432249951         159.30699192976851       97.91815586951239        74.81770768239615        64.46828112410307        59.96787529969171        58.72003248819547        59.23390413025667        60.46815306939617        61.755420603613615       62.42857924270194        62.10727521959513
0.166667                 6                        73.99129082891305        77.5879599292334         85.36036375323512        104.48945220248045       159.3069921224848        537.0998987311862        152.14713245390985       95.51651366384223        74.21990480541382        63.96830784090177        58.82407845010044        56.37794682355228        55.378684031119604       54.94170463489755        54.46815837013327        53.53982386144457
0.166667                 7                        62.66106847110725        64.48598044446005        68.33243027498213        77.34893596218821        97.91815652911166        152.1471328643116        531.5972206338714        149.26494786203503       94.87920434077549        73.580901653821          62.92883460645377        57.161023189797795       54.025942364704925       52.0868386426786         50.638108071856635       49.13577972923861
0.166667                 8                        57.6292419436318         58.45287878404702        60.26206825082307        64.83903891689468        74.81770777924866        95.51651194606177        149.26494708848676       532.7138946880053        149.72218151929508       95.01344250463299        73.56641698681453        62.73884476278883        56.84234397453262        53.14354586702586        50.58497634941768        48.3720121032902
0.166667                 9                        57.309628815646825       57.401043531460104       57.81251932340889        59.69120306513847        64.46828129972118        74.21991116719597        94.87920423971802        149.7221822257003        534.2880190199917        151.3996583440779        96.79587269121085        75.42799341194004        64.83119702188237        58.46388474088358        54.30630205042238        51.04187469989216
0.166667                 10                       60.90826775736844        60.26266158391197        59.33364954432675        58.87854769887035        59.96787505639142        63.968306617993505       73.58090120287774        95.0134426972721         151.39965853808727       543.140660084753         157.17916423433078       101.78402476720203       80.6357651869951         69.24535466505364        62.34687847425039        57.34074454007775
0.166667                 11                       67.92109260750084        66.37196356215894        63.85844592756351        60.891119146269496       58.720031337171925       58.824081684306506       62.928835724895315       73.56641747316714        96.79587282594139        157.17916344826324       556.448329979935         166.0639824856467        110.64388781321038       87.81470377188128        75.67787804147424        67.64374717118187
0.166667                 12                       77.39432037936196        74.7008273064049         70.25292240214958        64.47915303415758        59.233903119528044       56.37793728679388        57.161022363265715       62.73884462170647        75.42799245506393        101.78402435405985       166.06398159890136       575.3696000496642        180.96577267651125       120.28257558662482       96.21982033057373        82.49523438004043
0.166667                 13                       87.5369281757658         83.54595276737935        76.99656021437387        68.41349783301227        60.468152883261205       55.3786860295376         54.0259424855775         56.84234382245465        64.83119681716921        80.63576454663868        110.6438872422483        180.96577337239304       583.5033145032353        188.10312455515188       127.96693312487703       102.40328989923077
0.166667                 14                       97.10703520686411        91.7777096682433         83.15981478103217        71.98331684173624        61.75542127347619        54.94170699017324        52.08683713180387        53.143547128924666       58.463884403615666       69.24535445529986        87.81470456119855        120.28257714862586       188.10312561536844       598.0686694410974        196.86512856119143       133.63134684589775
0.166667                 15                       103.84087601204902       97.46022789066537        87.28558333289554        74.23145225442282        62.428579506225425       54.46815790607715        50.63810791778563        50.58497415678746        54.3063037571408         62.34687815432906        75.6778766278447         96.2198199714528         127.96693348301324       196.8651279633804        599.1604343754811        198.19412568992382
0.166667                 16                       106.28135349703619       99.46478703603117        88.61590036763306        74.68562653079653        62.10727537612138        53.53982224656432        49.13578005280333        48.37201325826624        51.04187403174298        57.3407445145016         67.64374799600654        82.49523502918753        102.40329045187208       133.631346923748         198.19412603841468       597.62251153076
0.010753                 1                        2156.7680427048736       1680.1060013306276       1483.5204227982          1320.8881918278742       1182.6030754886674       1068.5253823497699       978.8426974698584        912.001093819339         865.8860763931764        835.6848481623728        817.5138207851492        806.9455468075467        800.0541859323304        792.5244745619859        781.4196732797823        764.2247411966955
0.010753                 2                        1680.1059798514423       2082.641248279241        1572.0341477627903       1369.9694317890874       1215.4753770320006       1091.167749107594        994.127483139252         921.5505807151956        870.6880725716449        836.2577906433959        814.2364574855138        800.1680263413793        790.2957040508654        780.2530900834385        767.4342898904282        749.4854751275357
0.010753                 3                        1483.520412479901        1572.0341583119034       1977.3698047951143       1451.4194334463116       1258.6334792866273       1119.7230244951968       1013.4941651322827       933.9682991517686        877.4065809233331        837.9248517205751        811.3208700950831        793.0934710404435        779.672360212591         766.6009328658325        751.6277723413009        732.5463287663054
0.010753                 4                        1320.8881978766067       1369.969459389966        1451.4194476270516       1861.486068220443        1339.5858389212992       1161.5142137507225       1041.0116518484606       952.296378102702         888.5102820303979        842.7344611618969        810.4893955206194        787.1917810178652        769.4658789055519        752.6885010826046        734.9678264927588        714.201459757638
0.010753                 5                        1182.603067495501        1215.4753874156493       1258.633477746074        1339.5858265162894       1767.8403946046903       1246.8275100237688       1085.4076824583567       981.7270594519284        908.1777132585444        854.4030695113436        815.2289083476442        785.8566722087359        763.0497982823578        741.8868296036086        720.8019896893715        697.7276705267826
0.010753                 6                        1068.5253937679804       1091.1677800490286       1119.723044097261        1161.5142228706216       1246.8275319504633       1688.6340280174636       1178.021650390539        1031.387299007956        942.0135462192192        877.6749811248075        830.0091648687878        793.4689148870135        764.7789015563292        738.5355999846242        713.4464003828564        687.4044075215853
0.010753                 7                        978.8426919682272        994.1274950023114        1013.4941661534255       1041.0116384156588       1085.4076879326128       1178.0216344559808       1636.8256973793552       1132.6238338992455       998.8063573141746        917.8128194800943        859.2979871388721        814.2128312823077        778.682068146544         746.5422670055889        716.706307461683         686.9485157382311
0.010753                 8                        912.0010664772872        921.5505713617083        933.968277311081         952.2963512201075        981.7270430522728        1031.387262267806        1132.6238135480053       1608.8414215648816       1109.8129059394103       982.5693803865666        907.1789184781347        851.277947504511         807.580469540685         768.4825014965093        732.9730510228809        698.606727992631
0.010753                 9                        865.8860588364372        870.6880709183336        877.406568091692         888.5102648984398        908.1777080477118        942.0135209340235        998.8063481331849        1109.8129190982638       1592.7775476733254       1100.7361577619804       979.4999500492944        906.9349400337424        852.9337165013592        805.4908729286807        763.194157536981         723.1968754072938
0.010753                 10                       835.684844053712         836.2578034370857        837.9248541439741        842.7344584862351        854.4030773444463        877.6749682368498        917.8128203673563        982.569403465835         1100.7361673308424       1593.4147936026275       1106.066629261296        987.0741362900449        916.7441225760222        858.4989991480066        807.8342630383019        760.8941027228833
0.010753                 11                       817.5138097299916        814.2364615421689        811.3208607337968        810.4893823240568        815.2289076229318        830.0091443414841        859.2979821195826        907.1789358200868        979.4999519663426        1106.0666217720095       1603.4310281569017       1118.5357453466265       1002.6104691925866       927.2357984580204        865.8256075958632        810.4124078884175
0.010753                 12                       806.9455405124997        800.1680326546602        793.0934679665216        787.1917724754428        785.8566747718403        793.4688976611839        814.2128288107717        851.277966407512         906.9349452231967        987.0741323723167        1118.5357490116073       1619.9525302575819       1139.680244153333        1015.3438269949577       936.7592477900962        870.4979122762128
0.010753                 13                       800.0541865002646        790.2957199572262        779.6723669397062        769.4658781636191        763.049809683347         764.7788927114542        778.6820726156798        807.5804903405531        852.9337244139244        916.7441232905369        1002.6104748552309       1139.6802512330319       1623.8502426977425       1144.8104449030686       1020.497833644959        937.8150572224795
0.010753                 14                       792.5244533574551        780.2530834867875        766.6009145632618        752.6884776037953        741.8868188988193        738.5355717448584        746.5422500681829        768.4825026169357        805.4908635294255        858.4989829554452        927.2357856044421        1015.3438123687228       1144.8104244890333       1633.3715334225426       1150.3762765569384       1020.9389224971048
0.010753                 15                       781.4196688490435        767.4343012251812        751.6277727121314        734.9678199762609        720.8019954250005        713.446386331675         716.7063070050666        732.9730666322705        763.194164593156         807.8342620867967        865.825610639314         936.7592502467375        1020.4978307319394       1150.3762958945351       1623.092753903338        1143.6296184868504
0.010753                 16                       764.224732872765         749.4854813244104        732.5463260495125        714.201449750486         697.7276718658549        687.4043910030749        686.9485103039881        698.6067378682474        723.1968762626017        760.8940935984357        810.4124037194757        870.4979065801992        937.8150473555224        1020.9389307810536       1143.6296106647849       1610.3622049830337
0.003759                 1                        4146.040241809169        3621.09321377571         3372.7913043060585       3156.7321602822467       2963.4910008651273       2793.6199785008093       2648.927081083103        2529.227936845938        2433.780681182666        2357.1207373764664       2295.705266118071        2244.8900278696933       2201.8805834410246       2159.7570569299432       2117.3943160279373       2072.149717397666
0.003759                 2                        3621.0932592894383       3999.3249694198025       3448.25488820467         3199.6718825358703       2994.400906431726        2816.681624695902        2665.9047904610907       2541.1148824383695       2441.2439487152033       2360.5586237435787       2295.480148229669        2241.3659776469426       2195.5586777842013       2151.02044615951         2106.8499850099456       2060.4650944159357
0.003759                 3                        3372.791267164029        3448.2548067313733       3832.9359522937675       3269.5484930702414       3031.8736263145825       2843.2393281186232       2685.4469539841566       2554.992633338797        2450.2288876832677       2365.0937035023635       2295.962030255675        2238.188379935084        2189.262376227999        2142.0032767011776       2095.7450877732376       2047.958536264769
0.003759                 4                        3156.7321319482276       3199.6718167785043       3269.548504579214        3660.956451881823        3101.7464675613614       2879.2966277269798       2710.7784619143767       2573.4054765322753       2462.9404562952755       2372.672834034641        2298.8803023324663       2236.899561276358        2184.3769766089176       2133.944042917712        2085.179286372483        2035.5875040199764
0.003759                 5                        2963.4909862685795       2994.4008431000675       3031.8736488476184       3101.7464765409622       3513.014089756812        2954.195533794097        2749.9420916532376       2601.3029112714657       2483.599540380114        2387.1999077699074       2307.947249918426        2241.0829946304257       2184.3944559046968       2130.2529244864163       2078.480016019721        2026.5851040358798
0.003759                 6                        2793.6200467919552       2816.681645922401        2843.2394386184505       2879.2967187974396       2954.195611230988        3381.3979313980512       2834.0103311791777       2647.627947627134        2517.970215478558        2413.765220654322        2328.0318208050835       2255.499950926946        2194.0076194614685       2135.5637520577384       2080.2252742976257       2025.4734037981123
0.003759                 7                        2648.927107141576        2665.904771066715        2685.447020621339        2710.7785147287873       2749.942140519985        2834.010300928338        3281.677165807364        2743.4694143840056       2574.4728897671957       2457.540747434493        2363.6988603396276       2284.5428081608743       2217.5257555232893       2154.1221652220925       2094.605754693713        2036.3930150831459
0.003759                 8                        2529.2279239702584       2541.114823390822        2554.9926525084734       2573.4054820994907       2601.3029142130795       2647.627870627731        2743.4693716669494       3212.8086781453126       2683.7294652938485       2525.4552663665067       2418.519031709376        2331.147413313215        2257.7016027762156       2188.5825111703352       2124.2055258008218       2061.8717858814666
0.003759                 9                        2433.780702854402        2441.2439208524793       2450.2289469099937       2462.940500334487        2483.599573288982        2517.9701789307014       2574.4728778150907       2683.7294865707267       3163.471718805411        2645.176159272518        2497.010056098076        2396.5559350877747       2315.2255907618237       2239.5164690482075       2169.567383061324        2102.445987443987
0.003759                 10                       2357.120684144851        2360.5585257676416       2365.093681173381        2372.6728079247005       2387.199875089779        2413.7651113828583       2457.5406622835944       2525.455216930076        2645.176099859834        3137.491580067379        2627.7472642508146       2485.2914182339955       2391.0632157624527       2307.1208996443743       2230.6465297992077       2157.9486407418995
0.003759                 11                       2295.7052266016          2295.4800628756375       2295.962018192172        2298.8802859606762       2307.9472297278157       2328.0317325049987       2363.698798320869        2418.5190002048694       2497.0100122519575       2627.7472786316634       3126.698300113808        2622.811622315891        2487.1661016015805       2389.69661688197         2305.155958133278        2226.029089139024
0.003759                 12                       2244.890062660961        2241.3659594037154       2238.1884390927685       2236.899619032933        2241.083050377455        2255.4999302087663       2284.5428052418183       2331.147435218142        2396.555951361061        2485.2914863932147       2622.811677414249        3127.1690749601657       2631.6417616937306       2489.576083788646        2391.5628724628964       2304.485746465538
0.003759                 13                       2201.880576038009        2195.5586182341435       2189.262395716883        2184.376987483978        2184.394468847085        2194.007562328737        2217.525712251773        2257.701584030936        2315.2255737519495       2391.063257823019        2487.166134898301        2631.6417444609892       3119.7676017657577       2627.75630284061         2488.2755481823515       2388.49796016295
0.003759                 14                       2159.757100522118        2151.0204370165634       2142.003345145232        2133.9440992258783       2130.2529860277014       2135.563738654129        2154.1221716578507       2188.582538316246        2239.5164905379047       2307.1209712644654       2389.696676883992        2489.576091402157        2627.756318620051        3122.1901395541686       2629.0845699323486       2487.1122098712453
0.003759                 15                       2117.3943130861608       2106.849924429279        2095.745111906844        2085.179285725           2078.480024484264        2080.225210730879        2094.6057045908638       2124.2055017404323       2169.5673477866912       2230.6465449082343       2305.1559668190334       2391.562831131574        2488.2755180758045       2629.084522482075        3109.432853300906        2622.888252133307
0.003759                 16                       2072.1497241046377       2060.4650470164192       2047.9585747537628       2035.5875258853514       2026.5851353851788       2025.4733651849187       2036.3929972299384       2061.8717960552335       2102.445988461528        2157.948688530994        2226.029123645338        2304.485738109177        2388.4979651980666       2487.1121980163507       2622.8882878907275       3099.7377254255807
