Validation,mean MAPE
Validation1,13.175958623741328
Validation2,13.81809726476618
Validation3,12.240632404537429
Validation4,13.886228742734444
Validation5,14.561201732111574
Validation6,12.060564731770155
Validation7,10.341487051942888
Validation8,11.65209676443261
Validation9,18.448521060396345
Validation10,18.379648735156945
