"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_13","Stim_14","Stim_15"
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00,3.100000000000000089e+00
4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00,4.200000000000000178e+00
5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00,5.300000000000000711e+00
6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00,6.400000000000000355e+00
7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00,7.500000000000000000e+00
8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00,8.600000000000001421e+00
9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00,9.700000000000001066e+00
1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01,1.080000000000000071e+01
1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01,1.190000000000000036e+01
1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01
1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01,1.410000000000000142e+01
1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01,1.520000000000000107e+01
1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01,1.630000000000000071e+01
1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01,1.740000000000000213e+01
1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01,1.850000000000000000e+01
