3.5191e-01	3.4584e-01	3.5367e-01	3.6512e-01	3.7667e-01	3.8831e-01	4.0427e-01	4.2355e-01	4.5360e-01	4.9052e-01	5.0625e-01	5.7631e-01	6.9759e-01	8.3304e-01
4.1005e-01	4.1057e-01	4.2250e-01	4.3453e-01	4.4857e-01	4.6739e-01	4.8473e-01	5.1337e-01	5.7635e-01	6.1638e-01	6.5743e-01	8.0199e-01	9.2758e-01	1.0615e+00
4.8063e-01	4.8230e-01	4.9483e-01	5.1476e-01	5.3393e-01	5.5140e-01	5.7464e-01	6.4024e-01	7.0857e-01	7.5287e-01	8.5805e-01	1.1082e+00	1.1714e+00	9.1247e-01
5.5475e-01	5.4485e-01	5.5677e-01	5.7120e-01	5.8747e-01	6.0528e-01	6.6910e-01	7.4600e-01	8.2643e-01	9.5045e-01	1.1156e+00	1.3770e+00	1.0800e+00	7.9936e-01
5.6006e-01	5.6305e-01	5.7814e-01	5.9448e-01	6.1194e-01	6.8965e-01	7.7707e-01	8.8113e-01	1.0672e+00	1.2728e+00	1.4947e+00	1.3494e+00	1.1067e+00	8.4120e-01
8.7030e-01	8.6528e-01	8.9131e-01	9.1770e-01	9.9356e-01	1.0771e+00	1.1623e+00	1.3316e+00	1.5212e+00	1.7116e+00	1.8568e+00	1.2211e+00	9.6648e-01	7.5078e-01
9.7865e-01	9.7901e-01	1.0066e+00	1.0883e+00	1.1758e+00	1.2669e+00	1.4468e+00	1.6360e+00	1.8350e+00	2.0015e+00	1.6650e+00	1.0706e+00	8.4952e-01	6.8382e-01
1.0942e+00	1.0997e+00	1.1876e+00	1.2792e+00	1.3747e+00	1.5637e+00	1.7559e+00	1.9641e+00	2.1535e+00	1.8219e+00	1.4783e+00	9.5382e-01	7.7879e-01	6.1943e-01
1.2166e+00	1.2916e+00	1.3876e+00	1.4876e+00	1.6822e+00	1.8828e+00	2.0990e+00	2.3133e+00	1.9818e+00	1.6465e+00	1.3046e+00	8.7910e-01	7.1076e-01	5.6035e-01
1.4035e+00	1.5011e+00	1.6059e+00	1.8063e+00	2.0161e+00	2.2415e+00	2.4811e+00	2.1328e+00	1.7901e+00	1.4848e+00	1.1431e+00	8.0724e-01	6.4534e-01	5.3658e-01
1.6220e+00	1.7297e+00	1.9360e+00	2.1555e+00	2.3914e+00	2.6473e+00	2.2915e+00	1.9501e+00	1.6196e+00	1.3330e+00	1.0790e+00	7.3813e-01	6.1603e-01	5.1317e-01
1.8604e+00	2.0718e+00	2.3014e+00	2.5483e+00	2.8160e+00	2.4489e+00	2.1122e+00	1.7617e+00	1.4595e+00	1.2684e+00	1.0211e+00	6.9959e-01	5.9320e-01	5.0617e-01
2.1405e+00	2.4541e+00	2.7123e+00	2.9925e+00	2.6084e+00	2.2612e+00	1.9115e+00	1.5930e+00	1.3936e+00	1.2124e+00	9.5482e-01	6.8473e-01	5.9269e-01	5.0569e-01
2.4151e+00	2.8545e+00	3.1772e+00	2.7753e+00	2.4121e+00	2.0704e+00	1.7336e+00	1.5257e+00	1.3450e+00	1.1509e+00	8.9446e-01	6.8419e-01	5.9219e-01	5.0521e-01
2.7136e+00	3.1828e+00	2.9499e+00	2.5699e+00	2.2265e+00	1.8777e+00	1.6651e+00	1.4745e+00	1.2975e+00	1.1140e+00	8.8919e-01	6.8366e-01	5.9169e-01	5.0474e-01
3.0015e+00	2.8167e+00	2.6343e+00	2.3757e+00	2.0264e+00	1.8049e+00	1.6110e+00	1.4378e+00	1.2828e+00	1.1081e+00	8.8394e-01	6.8313e-01	5.9118e-01	5.0426e-01
