"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
8.393672534260989693e-01,2.938592893145424711e-01,nan,nan
8.904221920764509024e-01,2.962770068330979889e-01,nan,nan
8.974409856090208581e-01,3.088849576108174677e-01,nan,nan
8.680516676974456836e-01,3.168936752084307029e-01,7.079999999999999627e-01,1.524559878266970314e-01
8.894525219329927346e-01,3.064643587160421068e-01,7.475697657127796658e-01,1.842714241673584497e-01
8.834329782875296466e-01,3.033292639082649789e-01,7.498838387952598827e-01,1.858200416056374760e-01
8.762187409279549311e-01,2.838530236029086495e-01,7.723851699434416407e-01,2.026674441919418257e-01
8.398295581724032344e-01,2.722275006735678238e-01,7.865782485282578618e-01,2.081457348748235181e-01
8.020023845902017889e-01,2.588181588458608462e-01,7.829484737754613954e-01,2.101370756873807422e-01
8.068568415333420285e-01,2.799455567334139805e-01,7.616580626838664880e-01,2.078380686178285253e-01
nan,nan,nan,nan
nan,nan,7.107708348030652434e-01,2.166254812944184982e-01
nan,nan,8.002580602365804152e-01,2.844826165069185286e-01
nan,nan,6.575800717420918762e-01,1.992764657357906921e-01
nan,nan,nan,nan
