"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.126056406301004120e+00,4.273477343369450621e-01,nan,nan
1.112243078149905307e+00,4.259630236626621436e-01,nan,nan
1.093959569532891862e+00,4.322651491214584696e-01,nan,nan
1.047392198498896532e+00,4.254252703276648617e-01,9.010000000000000231e-01,1.805722456418209221e-01
1.015639512756014051e+00,4.164952841068084166e-01,8.849540669818469762e-01,1.990171559512096955e-01
9.312534351571192248e-01,3.778517211963868805e-01,8.477186414102149126e-01,1.890270889160968193e-01
9.663616750771002462e-01,3.894063672611097204e-01,7.867857390742188928e-01,1.943848898924394886e-01
9.704614442154773091e-01,3.805423523371701533e-01,7.578049408313364266e-01,2.154227906638946088e-01
8.881274535554407601e-01,3.268368464123362349e-01,7.934622573917382571e-01,2.766618803946643834e-01
9.833673269548812712e-01,4.272155946643754754e-01,7.882838761187767052e-01,2.921133448218982132e-01
nan,nan,nan,nan
nan,nan,7.433129975462603456e-01,2.956392482470528993e-01
nan,nan,8.925558856698273535e-01,4.036564186150444766e-01
nan,nan,6.651260856982139646e-01,2.783300896231318267e-01
nan,nan,nan,nan
