"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
8.818562495171449189e-01,3.189079970047474233e-01,nan,nan
9.070354860490862370e-01,3.244310566671398943e-01,nan,nan
9.158429340854873368e-01,3.361330347025701104e-01,nan,nan
8.913731707980880881e-01,3.470019156649595815e-01,7.419999999999999929e-01,2.223924213364478764e-01
8.760350373873113661e-01,3.559628958502966678e-01,7.464330976865608536e-01,1.833272779113403195e-01
8.569696835907872901e-01,3.334767067724445644e-01,7.468965275935679493e-01,1.712473311833564993e-01
8.769898228012639185e-01,3.651753041346245676e-01,7.220219607718039168e-01,1.794262454022069464e-01
8.219410629520599310e-01,3.543378131357190486e-01,7.136202828307275370e-01,2.040115555682507631e-01
7.811540945939758895e-01,3.468956704321743967e-01,6.904956157161239449e-01,2.133298833435868791e-01
7.558639417410968342e-01,3.177842958291293152e-01,6.850939583395312393e-01,2.277987287637590341e-01
nan,nan,nan,nan
nan,nan,6.120675092918216320e-01,2.231495390531321177e-01
nan,nan,6.210010200311320006e-01,2.410064144965294863e-01
nan,nan,5.804315722056212490e-01,2.158647979215918278e-01
nan,nan,nan,nan
