"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.769942883131044198e+00,4.406431381491121013e-01,nan,nan
1.777149571098751935e+00,4.455139088925249014e-01,nan,nan
1.681568614606670620e+00,4.511388128714906576e-01,nan,nan
1.612993015569292199e+00,4.491321796687374746e-01,1.413000000000000034e+00,1.722241175319003392e-01
1.493518566067443709e+00,4.512735401829758852e-01,1.336622302163990472e+00,1.756138715688891627e-01
1.386519504635355116e+00,4.472811048741211493e-01,1.269773860037919144e+00,1.871937815755746470e-01
1.416256673523823784e+00,4.665103437057270264e-01,1.167652377612150350e+00,1.745598410196713690e-01
1.434475463326325917e+00,4.905581567372039320e-01,1.114253994711207563e+00,1.941627378360128164e-01
1.388099881654395240e+00,4.826123450617084698e-01,1.156355996015195009e+00,2.536137769645234741e-01
1.440024958493826501e+00,5.659940643089270695e-01,1.160759389117633988e+00,2.940658122747675240e-01
nan,nan,nan,nan
nan,nan,9.918307408076172393e-01,3.079825843132591445e-01
nan,nan,1.091544274943537340e+00,3.769094001109817849e-01
nan,nan,7.532482766981865030e-01,2.446438467602462530e-01
nan,nan,nan,nan
