"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.602321187811185599e+00,3.919015489690191312e-01,nan,nan
1.551018379076655851e+00,3.904464933035642349e-01,nan,nan
1.463603547428297125e+00,3.927469731543027365e-01,nan,nan
1.373413677757681306e+00,3.935747325871543079e-01,1.254000000000000004e+00,1.049695596015427362e-01
1.280348628002800915e+00,3.891109883100840605e-01,1.191232257232680114e+00,7.959263062818341949e-02
1.198866856357951871e+00,3.873952100247816110e-01,1.113237133889738439e+00,8.412363502462380516e-02
1.167225641159030047e+00,3.900943783530885223e-01,1.046969769403661044e+00,1.026317265845139715e-01
1.098425997707914492e+00,3.931665810144459594e-01,9.808544181083901359e-01,1.065728180166188310e-01
1.011595291907058769e+00,3.715432001527581019e-01,9.535174109443708135e-01,1.369526960196645049e-01
9.719085188982179435e-01,3.799259579898267569e-01,9.096856703026678925e-01,1.650251422265518186e-01
nan,nan,nan,nan
nan,nan,7.394566532793349634e-01,1.769855614194427718e-01
nan,nan,7.788172967490040177e-01,2.142339561547426108e-01
nan,nan,6.271267348943548869e-01,1.534933040044589858e-01
nan,nan,nan,nan
