"right.p0","right.p1","left.p0","left.p1"
1.248028328765956374e+00,2.881091417682507538e-01,nan,nan
1.107653866732780656e+00,2.437046687756952990e-01,nan,nan
1.103850244350876197e+00,2.545445723774460989e-01,nan,nan
1.060820355698869122e+00,2.384854360150697183e-01,nan,nan
1.015446185705596305e+00,2.237116678736390252e-01,9.335835151035357660e-01,5.695019644811658704e-02
1.000144412844260700e+00,2.257860898970732444e-01,9.151969897990922531e-01,8.239599261107451167e-02
9.962878758848540128e-01,2.236605518498531175e-01,8.870007616845539955e-01,7.746010092961078120e-02
9.844335250813436300e-01,2.250666825432175999e-01,8.786312166068673823e-01,9.129475084020299835e-02
9.612255888469332099e-01,2.135061293066309318e-01,8.792230155858219431e-01,1.073672275458016911e-01
9.586872492115966482e-01,2.153802898884988049e-01,8.594223711464851201e-01,1.095153844162184142e-01
9.576408117123830221e-01,2.197420064965313335e-01,8.600501382620489021e-01,1.301334289608540584e-01
9.654799769193315173e-01,2.237552622989833206e-01,8.568667197015895631e-01,1.435194720027559989e-01
nan,nan,8.573262445011634592e-01,1.506933044404824007e-01
nan,nan,8.574996020910732319e-01,1.624481809738485272e-01
nan,nan,8.381135689871048733e-01,1.625843538994622139e-01
nan,nan,8.128590122308233523e-01,1.759270955642851519e-01
