"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.097928738239417834e+00,3.264447807564329063e-01,nan,nan
1.113878493378069434e+00,3.363988677997371557e-01,nan,nan
1.138733941558147000e+00,3.327292495816425166e-01,nan,nan
1.129207559253743387e+00,3.451369724831280239e-01,9.539999999999999591e-01,2.307339139304837028e-01
1.112876118529757985e+00,3.536707913336346598e-01,9.593903257387116357e-01,1.997581825792216492e-01
1.061507990500369036e+00,3.493122585453482531e-01,9.508236523608202262e-01,2.029433581939586451e-01
1.095510537675104645e+00,3.654571029233706358e-01,9.210634713516880900e-01,1.965769455770136898e-01
1.073924872394511398e+00,3.831478809065386737e-01,9.055128412724972042e-01,2.016287142763897589e-01
1.032781640970330095e+00,3.517375791272155938e-01,9.205159985199512507e-01,2.148421062127518211e-01
1.095716895124729584e+00,4.115518677136809633e-01,9.019232235554183186e-01,2.253047202276871053e-01
nan,nan,nan,nan
nan,nan,8.485826595683338969e-01,2.457303591126552278e-01
nan,nan,8.794841844737788517e-01,2.819610594358074596e-01
nan,nan,7.569658077196194101e-01,2.412188233855973307e-01
nan,nan,nan,nan
