"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
2.550491087799685364e+00,5.367075850059724873e-01,nan,nan
2.443158208930252151e+00,5.409715375581476415e-01,nan,nan
2.234334194722368938e+00,5.370981736870833467e-01,nan,nan
2.084955886935547120e+00,5.395727652717257072e-01,1.875000000000000000e+00,1.430541367175670875e-01
1.779444214995071993e+00,4.855385769741873414e-01,1.767710030123754050e+00,1.484920676645840876e-01
1.597568902080439779e+00,4.567817064269554250e-01,1.536913485977077443e+00,1.474857865376070221e-01
1.495733591987331135e+00,4.432744442911142890e-01,1.361374779262651158e+00,1.549948583812610636e-01
1.301696489226858766e+00,4.082687942970418260e-01,1.291277026554198404e+00,1.736444617617632635e-01
1.173411724084158170e+00,3.869483317837265623e-01,1.183005496556450931e+00,1.927175669174598094e-01
1.185053145680512232e+00,4.561175165031429168e-01,1.108785728344278798e+00,2.084764748390625089e-01
nan,nan,nan,nan
nan,nan,8.792818387646637035e-01,2.175143291738019513e-01
nan,nan,9.654134245823159377e-01,2.906723135865128538e-01
nan,nan,7.032188859370914757e-01,1.976256662523802887e-01
nan,nan,nan,nan
